varnum,variable,description,sequence_number
2,STUSAB,STUSAB,1
5,LOGRECNO,LOGRECNO,1
8,B01001_001,SEX BY AGE for Total population,2
18,B01001_011,SEX BY AGE% Male:% 25 to 29 years,2
19,B01001_012,SEX BY AGE% Male:% 30 to 34 years,2
20,B01001_013,SEX BY AGE% Male:% 35 to 39 years,2
21,B01001_014,SEX BY AGE% Male:% 40 to 44 years,2
22,B01001_015,SEX BY AGE% Male:% 45 to 49 years,2
23,B01001_016,SEX BY AGE% Male:% 50 to 54 years,2
24,B01001_017,SEX BY AGE% Male:% 55 to 59 years,2
25,B01001_018,SEX BY AGE% Male:% 60 and 61 years,2
26,B01001_019,SEX BY AGE% Male:% 62 to 64 years,2
27,B01001_020,SEX BY AGE% Male:% 65 and 66 years,2
28,B01001_021,SEX BY AGE% Male:% 67 to 69 years,2
29,B01001_022,SEX BY AGE% Male:% 70 to 74 years,2
30,B01001_023,SEX BY AGE% Male:% 75 to 79 years,2
31,B01001_024,SEX BY AGE% Male:% 80 to 84 years,2
32,B01001_025,SEX BY AGE% Male:% 85 years and over,2
42,B01001_035,SEX BY AGE% Female:% 25 to 29 years,2
43,B01001_036,SEX BY AGE% Female:% 30 to 34 years,2
44,B01001_037,SEX BY AGE% Female:% 35 to 39 years,2
45,B01001_038,SEX BY AGE% Female:% 40 to 44 years,2
46,B01001_039,SEX BY AGE% Female:% 45 to 49 years,2
47,B01001_040,SEX BY AGE% Female:% 50 to 54 years,2
48,B01001_041,SEX BY AGE% Female:% 55 to 59 years,2
49,B01001_042,SEX BY AGE% Female:% 60 and 61 years,2
50,B01001_043,SEX BY AGE% Female:% 62 to 64 years,2
51,B01001_044,SEX BY AGE% Female:% 65 and 66 years,2
52,B01001_045,SEX BY AGE% Female:% 67 to 69 years,2
53,B01001_046,SEX BY AGE% Female:% 70 to 74 years,2
54,B01001_047,SEX BY AGE% Female:% 75 to 79 years,2
55,B01001_048,SEX BY AGE% Female:% 80 to 84 years,2
56,B01001_049,SEX BY AGE% Female:% 85 years and over,2
368,B02001_002,RACE% White alone,4
369,B02001_003,RACE% Black or African American alone,4
6474,B11001_001,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) for Households,35
6479,B11001_006,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)% Family households:% Other family:% Female householder, no husband present",35
6492,B11001B_001,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE) for Households with a householder who is Black or African American alone,35
6546,B11001H_001,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO) for Households with a householder who is White alone, not Hispanic or Latino",35
8026,B15002_011,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Male:% High school graduate (includes equivalency),42
8027,B15002_012,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Male:% Some college, less than 1 year",42
8028,B15002_013,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Male:% Some college, 1 or more years, no degree",42
8029,B15002_014,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Male:% Associate's degree,42
8030,B15002_015,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Male:% Bachelor's degree,42
8031,B15002_016,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Male:% Master's degree,42
8032,B15002_017,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Male:% Professional school degree,42
8033,B15002_018,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Male:% Doctorate degree,42
8043,B15002_028,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Female:% High school graduate (includes equivalency),42
8044,B15002_029,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Female:% Some college, less than 1 year",42
8045,B15002_030,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Female:% Some college, 1 or more years, no degree",42
8046,B15002_031,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Female:% Associate's degree,42
8047,B15002_032,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Female:% Bachelor's degree,42
8048,B15002_033,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Female:% Master's degree,42
8049,B15002_034,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Female:% Professional school degree,42
8050,B15002_035,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER% Female:% Doctorate degree,42
8806,B17001_001,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE for Population for whom poverty status is determined,47
8807,B17001_002,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE% Income in the past 12 months below poverty level:,47
12347,B19113_001,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) for Families,63
14933,B23025_002,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER% In labor force:,78
14936,B23025_005,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER% In labor force:% Civilian labor force:% Unemployed,78
19238,B25003_002,TENURE% Owner occupied,102
19722,B25035_001,MEDIAN YEAR STRUCTURE BUILT for Housing units,104
20177,B25077_001,MEDIAN VALUE (DOLLARS) for Owner-occupied housing units,105
